enhancerid	seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	enhancerGroup	attributes
GH01J024861	chr1	24861401	24862000	600	*	2	Distal Intergenic	1	24919345	24919416	72	2	102465437	ENST00000614863.1	57416	ENSG00000278034	MIR6731	microRNA 6731	8_EnhG2	GH01J024861;piR-30418:250.66;piR-38579-002:250.66;MAN1C1:5.20;HSALNG0001744:0.66;LOC105376876:0.45;RUNX3:0.15;CLIC4:0.13
GH02J009470	chr2	9470401	9471400	1000	*	2	Promoter (2-3kb)	2	9473658	9484548	10891	1	285148	ENST00000496603.5	-2258	ENSG00000134330	IAH1	isoamyl acetate hydrolyzing esterase 1 (putative)	11_EnhWk	GH02J009470;IAH1:0.66;lnc-IAH1-4:0.66;piR-50444-290:0.35;CPSF3:0.26
GH03J172230	chr3	172228601	172237800	9200	*	2	Exon (ENST00000484215.3/ENST00000484215.3, exon 1 of 1)	3	172306936	172310927	3992	1	64778	ENST00000483344.1	-69136	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	8_EnhG2	GH03J172230;FNDC3B:12.71;TMEM212:9.47;PLD1:1.42;lnc-GHSR-2:0.66;RPS27AP8:0.66;RF00017-4201:0.45;RN7SL141P:0.45;lnc-TMEM212-5:0.21;GHSR:0.08
GH03J172232	chr3	172228601	172237800	9200	*	2	Exon (ENST00000484215.3/ENST00000484215.3, exon 1 of 1)	3	172306936	172310927	3992	1	64778	ENST00000483344.1	-69136	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	8_EnhG2	GH03J172232;FNDC3B:10.26;TMEM212:9.47;RF00017-4201:0.66;RN7SL141P:0.66;lnc-GHSR-2:0.45;RPS27AP8:0.45;lnc-TMEM212-5:0.21;GHSR:0.08
GH03J172236	chr3	172228601	172237800	9200	*	2	Exon (ENST00000484215.3/ENST00000484215.3, exon 1 of 1)	3	172306936	172310927	3992	1	64778	ENST00000483344.1	-69136	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	8_EnhG2	GH03J172236;RF00017-4201:250.66;RN7SL141P:250.66;FNDC3B:1.52;lnc-GHSR-2:0.41;RPS27AP8:0.41;lnc-TMEM212-5:0.20;GHSR:0.07
GH03J172237	chr3	172228601	172237800	9200	*	2	Exon (ENST00000484215.3/ENST00000484215.3, exon 1 of 1)	3	172306936	172310927	3992	1	64778	ENST00000483344.1	-69136	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	8_EnhG2	GH03J172237;RF00017-4201:250.66;RN7SL141P:250.66;FNDC3B:10.10;lnc-GHSR-2:0.41;RPS27AP8:0.41;lnc-TMEM212-5:0.20;GHSR:0.07
GH03J172239	chr3	172228601	172237800	9200	*	2	Exon (ENST00000484215.3/ENST00000484215.3, exon 1 of 1)	3	172306936	172310927	3992	1	64778	ENST00000483344.1	-69136	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	8_EnhG2	GH03J172239;RF00017-4201:250.66;RN7SL141P:250.66;FNDC3B:10.77;TMEM212:9.34;HSALNG0030720:0.45;lnc-TMEM212-5:0.20;GHSR:0.08
GH04J036289	chr4	36287601	36288200	600	*	2	Intron (ENST00000639862.2/401124, intron 2 of 9)	4	36284022	36344785	60764	1	401124	ENST00000456874.3	3579	ENSG00000197057	DTHD1	death domain containing 1	11_EnhWk	GH04J036289;DTHD1:0.45;HSALNG0033805:0.23;NWD2:0.02
GH07J151438	chr7	151441601	151443200	1600	*	2	Promoter (<=1kb)	7	151428835	151440813	11979	2	155051	ENST00000476631.5	-788	ENSG00000127377	CRYGN	crystallin gamma N	9_EnhA1	GH07J151438;CRYGN:256.28;lnc-CRYGN-1:250.66;ENSG00000241456:6.72;WDR86:4.94;LOC124901780:0.66
GH09J123686	chr9	123687801	123690000	2200	*	2	Intron (ENST00000473039.5/57706, intron 4 of 17)	9	123401810	123676791	274982	2	57706	ENST00000394215.6	-11010	ENSG00000119522	DENND1A	DENN domain containing 1A	9_EnhA1	GH09J123686;lnc-LHX2-8:0.41;OL780008:0.35;RF00017-7987:0.24;RF00017-7985:0.20;OP794616:0.08;DENND1A:0.07;CRB2:0.05
